time_s,type,name,hold_ms,gap_ms
2.108,MOUSE,left,61,0
2.828,MOUSE,left,40,659
3.704,MOUSE,right,109,836
4.692,MOUSE,left,66,879
5.612,MOUSE,left,61,854
6.171,MOUSE,left,49,498
