time_s,type,name,hold_ms,gap_ms
62.654,KEY,n,81,0
62.83,KEY,space,42,95
62.87,KEY,k,63,0
63.106,KEY,backspace,20,173
63.286,KEY,backspace,74,160
63.207,KEY,lctrl,198,0
63.572,KEY,[,67,167
63.731,KEY,j,54,92
63.878,KEY,n,67,93
63.965,KEY,t,63,20
64.057,KEY,k,83,29
64.142,KEY,space,60,2
64.251,KEY,g,67,49
64.283,KEY,h,82,0
64.364,KEY,j,64,0
64.468,KEY,c,100,40
64.543,KEY,n,75,0
64.567,KEY,j,75,0
64.62,KEY,space,62,0
64.738,KEY,h,118,56
64.813,KEY,f,94,0
64.901,KEY,p,103,0
64.974,KEY,y,73,0
65.157,KEY,b,77,110
65.448,KEY,backspace,65,214
65.501,KEY,t,117,0
65.599,KEY,c,77,0
65.686,KEY,n,74,10
65.764,KEY,b,72,4
65.811,KEY,space,82,0
65.972,KEY,y,77,79
66.003,KEY,f,77,0
66.051,KEY,space,77,0
66.15,KEY,h,127,22
66.226,KEY,f,98,0
66.27,KEY,p,99,0
66.358,KEY,y,74,0
66.491,KEY,s,150,59
66.571,KEY,t,103,0
66.631,KEY,space,71,0
66.759,KEY,r,69,57
66.894,KEY,y,93,66
67.03,KEY,j,101,43
67.121,KEY,g,121,0
67.194,KEY,r,99,0
67.359,KEY,b,155,66
67.47,KEY,space,129,0
67.979,KEY,r,118,380
68.104,KEY,k,115,7
68.221,KEY,f,138,2
68.304,KEY,d,120,0
68.519,KEY,b,97,95
68.794,KEY,f,107,178
68.911,KEY,n,94,10
69.013,KEY,e,107,8
69.127,KEY,h,106,7
69.26,KEY,s,103,27
69.329,KEY,space,94,0
69.504,KEY,f,143,81
69.57,KEY,r,98,0
69.664,KEY,n,103,0
69.772,KEY,b,50,5
69.826,KEY,d,174,4
69.921,KEY,f,116,0
70.12,KEY,w,77,83
70.246,KEY,b,145,49
70.348,KEY,.,125,0
70.447,KEY,space,67,0
70.55,KEY,b,106,36
70.62,KEY,space,86,0
70.889,KEY,b,104,183
71.009,KEY,c,77,16
71.472,KEY,g,85,386
71.569,KEY,j,141,12
71.812,KEY,k,98,102
71.922,KEY,y,87,12
72.008,KEY,t,143,0
72.088,KEY,y,91,0
72.279,KEY,b,103,100
72.589,KEY,t,68,207
72.697,KEY,lshift,168,40
72.759,KEY,/,113,0
72.833,KEY,space,69,0
72.947,KEY,x,96,45
73.014,KEY,n,66,0
73.025,KEY,j,96,0
73.104,KEY,space,77,0
73.222,KEY,b,101,41
73.458,KEY,v,82,135
73.662,KEY,backspace,51,122
73.799,KEY,backspace,77,86
73.827,KEY,v,144,0
73.89,KEY,s,93,0
73.931,KEY,space,64,0
74.052,KEY,b,118,57
74.113,KEY,space,93,0
74.222,KEY,c,101,16
74.308,KEY,l,83,0
74.388,KEY,t,80,0
74.495,KEY,k,77,27
74.538,KEY,f,125,0
74.668,KEY,k,99,5
74.769,KEY,b,71,2
75.0,KEY,/,82,160
74.934,KEY,lshift,179,0
75.053,KEY,space,76,0
75.196,KEY,d,106,67
75.284,KEY,t,119,0
75.4,KEY,h,82,0
75.485,KEY,y,89,3
75.677,KEY,b,123,103
75.736,KEY,space,102,0
75.972,KEY,lalt,104,134
76.091,KEY,r,80,15
76.202,KEY,m,92,31
76.309,KEY,b,142,15
75.965,KEY,lshift,553,0
76.438,KEY,space,107,0
76.538,KEY,lshift,20,0
76.733,KEY,b,46,175
76.839,KEY,u,71,60
77.055,KEY,r,144,145
77.172,KEY,s,48,0
77.825,KEY,t,128,605
77.918,KEY,s,115,0
77.989,KEY,space,78,0
78.207,KEY,lalt,72,140
78.202,KEY,lshift,81,0
78.335,KEY,d,82,52
78.386,KEY,t,105,0
78.438,KEY,p,82,0
78.603,KEY,l,117,83
78.76,KEY,t,99,40
78.901,KEY,space,101,42
79.196,KEY,u,95,194
79.351,KEY,l,94,60
79.458,KEY,t,99,13
79.51,KEY,space,83,0
79.585,KEY,j,90,0
79.678,KEY,y,76,3
79.865,KEY,b,108,111
79.922,KEY,space,125,0
80.009,KEY,",",72,0
80.106,KEY,s,127,25
80.186,KEY,k,99,0
80.273,KEY,b,122,0
80.963,KEY,lalt,80,568
80.973,KEY,lshift,99,0
82.256,MOUSE,left,43,1184
82.764,KEY,a,109,465
82.801,KEY,c,102,0
82.573,KEY,lctrl,375,0
83.189,KEY,lalt,140,241
83.272,KEY,tab,86,0
84.0,KEY,v,59,642
83.938,KEY,lctrl,135,0
84.248,KEY,enter,72,175
85.809,MOUSE,left,53,1489
86.881,MOUSE,right,69,1019
87.216,MOUSE,left,1,266
87.266,MOUSE,left,1,49
87.317,MOUSE,left,1,50
87.437,MOUSE,right,195,119
87.683,MOUSE,left,1,51
87.733,MOUSE,left,1,49
87.784,MOUSE,left,1,50
87.834,MOUSE,left,1,49
87.885,MOUSE,left,1,50
89.214,MOUSE,left,67,1328
105.488,MOUSE,right,93,16207
105.987,MOUSE,left,67,406
106.664,MOUSE,left,67,610
108.15,MOUSE,left,104,1419
108.947,MOUSE,left,68,694
109.86,MOUSE,left,55,845
127.482,MOUSE,left,113,17567
131.545,MOUSE,left,66,3950
133.077,MOUSE,left,51,1466
134.33,MOUSE,left,83,1202
135.438,MOUSE,left,75,1025
136.055,MOUSE,left,63,542
136.843,MOUSE,left,69,725
137.78,MOUSE,left,63,868
139.027,MOUSE,left,83,1184
139.153,MOUSE,left,55,43
141.363,MOUSE,right,54,2155
141.838,MOUSE,left,1,421
141.888,MOUSE,left,1,49
141.993,MOUSE,right,96,104
143.022,MOUSE,left,1,933
143.072,MOUSE,left,1,49
143.122,MOUSE,left,1,49
143.173,MOUSE,left,1,50
143.223,MOUSE,left,1,49
143.406,MOUSE,left,1,182
143.456,MOUSE,left,1,49
143.507,MOUSE,left,1,50
143.557,MOUSE,left,1,49
143.608,MOUSE,left,1,50
143.658,MOUSE,left,1,49
143.708,MOUSE,left,1,49
144.747,KEY,vk0x5b,25,1038
144.748,KEY,2,25,0
145.08,MOUSE,right,77,307
145.204,MOUSE,right,56,47
145.333,KEY,1,87,73
145.472,KEY,vk0x5b,25,52
145.473,KEY,1,24,0
146.189,MOUSE,left,1,692
