time_s,type,name,hold_ms,gap_ms
0.812,MOUSE,left,58,0
0.913,MOUSE,left,63,43
2.675,MOUSE,right,50,1699
3.361,MOUSE,left,56,636
3.541,MOUSE,left,77,124
4.21,MOUSE,right,229,592
5.15,MOUSE,left,68,711
5.553,MOUSE,left,66,335
7.068,KEY,vk0x5b,25,1449
7.069,KEY,2,24,0
7.389,MOUSE,right,42,296
7.499,MOUSE,right,67,68
8.05,KEY,vk0x5b,25,484
8.051,KEY,1,24,0
9.546,MOUSE,left,64,1471
10.206,MOUSE,left,63,596
16.917,MOUSE,left,241,6648
19.067,MOUSE,left,145,1909
20.036,KEY,c,73,824
20.333,KEY,tab,166,224
21.147,MOUSE,left,40,648
20.32,KEY,lalt,998,0
21.881,MOUSE,left,66,563
22.15,KEY,v,105,203
22.008,KEY,lctrl,357,0
25.553,MOUSE,left,50,3188
26.792,MOUSE,left,41,1189
28.589,MOUSE,left,976,1756
30.934,MOUSE,left,54,1369
31.263,MOUSE,left,38,275
31.743,MOUSE,left,67,442
37.968,MOUSE,left,67,6158
38.108,MOUSE,left,57,73
39.564,KEY,h,80,1400
39.195,KEY,lctrl,887,0
